,label,thumb_path,path,r,g,b,h,s,v,height,width,aspect_ratio,kingdom,phylum,class,order,family,genus,specificEpithet,taxonRank,vernacularName,continent,country,stateProvince,county,municipality,locality,higherGeography,formation,scientificName,higherClassification,earliestPeriodOrLowestSystem,earliestEpochOrLowestSeries,earliestAgeOrLowestStage,bibliographicCitation,references,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,occurrenceID,catalogNumber,occurrenceRemarks,recordedBy,identifier,id,modified,previousIdentifications,georeferencedBy,georeferencedDate,georeferenceSources,dynamicProperties,error
110,Fossil Leaf,/dev/shm/jrose3/2022-yale_fossils/image_thumbnails/res=512/urn:uuid:cdec9ebe-a74c-4a33-84ef-62bc259e4b20.jpg,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:cdec9ebe-a74c-4a33-84ef-62bc259e4b20.png,234.30369091666665,226.392911875,201.63400604166668,45.48022641666667,38.677228,235.16506979166667,6000,4000,1.5,Plantae,Tracheophyta,Gymnospermopsida,Cycadeoidales,Cycadeoidaceae,Cycadeoidea,wielandi,Species,tracheophytes; plants,North America,USA,South Dakota,Fall River County,Minnekahta,near Minnekahta,North America; USA; South Dakota; Fall River County; Minnekahta,,Cycadeoidea wielandi,Plantae; Tracheophyta; Gymnospermopsida; Cycadeoidales; Cycadeoidaceae,Early Cretaceous,,,Cycadeoidea wielandi (YPM PB 030669),http://collections.peabody.yale.edu/search/Record/YPM-PB-030669,43.430531,-103.68825,5828.0,urn:uuid:1a93868a-b508-4bb3-84b6-bde9930520f8,YPM PB 030669,Crepet Fig. 54; PB number 30669; lot count 1; accn=YPM.02395,H. F. Wells,urn:uuid:cdec9ebe-a74c-4a33-84ef-62bc259e4b20,urn:uuid:1a93868a-b508-4bb3-84b6-bde9930520f8,2022-03-09T21:55:46.000Z,Cycadeoidea wielandi,Dylan Young,5/5/2015,GEOLocate,"{ ""irn"": ""765775"", ""media"": ""573783:cdec9ebe-a74c-4a33-84ef-62bc259e4b20"", ""mm_repository_id"": ""573783"", ""solr_long_lat"": ""-103.68825,43.430531"" }",
111,Fossil Leaf,/dev/shm/jrose3/2022-yale_fossils/image_thumbnails/res=512/urn:uuid:820bb345-9271-492e-994e-907beb93dbba.jpg,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:820bb345-9271-492e-994e-907beb93dbba.png,234.314284,225.863069,187.564039625,29.194208416666665,54.725064583333335,234.61764316666665,4000,6000,0.6666666666666666,Plantae,Tracheophyta,Gymnospermopsida,Cycadeoidales,Cycadeoidaceae,Cycadeoidea,wielandi,Species,tracheophytes; plants,North America,USA,South Dakota,Fall River County,Minnekahta,4 miles southwest of Minnekahta,North America; USA; South Dakota; Fall River County; Minnekahta,,Cycadeoidea wielandi,Plantae; Tracheophyta; Gymnospermopsida; Cycadeoidales; Cycadeoidaceae,Early Cretaceous,,,Cycadeoidea wielandi (YPM PB 005268),http://collections.peabody.yale.edu/search/Record/YPM-PB-005268,43.391437,-103.74713,3272.0,urn:uuid:dc361f67-9b4f-49fa-932f-a18fb21f4d00,YPM PB 005268,PB number 5268; lot count 1,George R. Wieland,urn:uuid:820bb345-9271-492e-994e-907beb93dbba,urn:uuid:dc361f67-9b4f-49fa-932f-a18fb21f4d00,2022-03-09T21:55:46.000Z,Cycadeoidea wielandi,Dylan Young,5/5/2015,GEOLocate,"{ ""irn"": ""744273"", ""media"": ""573663:820bb345-9271-492e-994e-907beb93dbba"", ""mm_repository_id"": ""573663"", ""solr_long_lat"": ""-103.74713,43.391437"" }",
112,Fossil Leaf,/dev/shm/jrose3/2022-yale_fossils/image_thumbnails/res=512/urn:uuid:5798d7a9-2476-4543-aad5-b2b657d7f910.jpg,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:5798d7a9-2476-4543-aad5-b2b657d7f910.png,229.04185441666667,224.2824574583333,210.769521625,50.54418566666666,26.354792416666665,229.8999147083333,4000,6000,0.6666666666666666,Plantae,Tracheophyta,Gymnospermopsida,Cycadeoidales,Cycadeoidaceae,Cycadeoidea,wielandi,Species,tracheophytes; plants,,,,,,,,,Cycadeoidea wielandi,Plantae; Tracheophyta; Gymnospermopsida; Cycadeoidales; Cycadeoidaceae,,,,Cycadeoidea wielandi (YPM PB 005233),http://collections.peabody.yale.edu/search/Record/YPM-PB-005233,,,,urn:uuid:c9be79ab-6784-4b8a-96bb-45bfba913793,YPM PB 005233,PB number 5233; lot count 1,,urn:uuid:5798d7a9-2476-4543-aad5-b2b657d7f910,urn:uuid:c9be79ab-6784-4b8a-96bb-45bfba913793,2022-03-09T21:55:46.000Z,Cycadeoidea wielandi,,,,"{ ""irn"": ""744238"", ""media"": ""573630:5798d7a9-2476-4543-aad5-b2b657d7f910"", ""mm_repository_id"": ""573630"", ""original_num"": ""S.'35'"" }",
113,Fossil Leaf,/dev/shm/jrose3/2022-yale_fossils/image_thumbnails/res=512/urn:uuid:7c253e72-806a-438c-8d7d-2139570b2c94.jpg,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:7c253e72-806a-438c-8d7d-2139570b2c94.png,234.2186355833333,225.796294,213.2413515833333,21.945564458333333,30.462976333333334,234.436319375,4000,6000,0.6666666666666666,Plantae,Tracheophyta,Gymnospermopsida,Cycadeoidales,Cycadeoidaceae,Cycadella,beecheriana,Species,tracheophytes; plants,,,,,,,,,Cycadella beecheriana,Plantae; Tracheophyta; Gymnospermopsida; Cycadeoidales; Cycadeoidaceae,,,,Cycadella beecheriana (YPM PB 041008),http://collections.peabody.yale.edu/search/Record/YPM-PB-041008,,,,urn:uuid:7cadfd65-c318-47c3-9868-b21afc9e9cb6,YPM PB 041008,PB number 41008; lot count 1,,urn:uuid:7c253e72-806a-438c-8d7d-2139570b2c94,urn:uuid:7cadfd65-c318-47c3-9868-b21afc9e9cb6,2022-03-09T21:55:46.000Z,Cycadella beecheriana,,,,"{ ""irn"": ""773068"", ""media"": ""580093:7c253e72-806a-438c-8d7d-2139570b2c94"", ""mm_repository_id"": ""580093"", ""original_num"": ""S.287"" }",
114,Fossil Leaf,/dev/shm/jrose3/2022-yale_fossils/image_thumbnails/res=512/urn:uuid:0805c85e-de6b-4d41-b698-9ec83a582d73.jpg,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:0805c85e-de6b-4d41-b698-9ec83a582d73.png,234.1711802083333,226.04855591666663,201.8427310833333,30.165889916666668,41.068721833333335,234.29828770833333,4000,6000,0.6666666666666666,Plantae,Tracheophyta,Gymnospermopsida,Cycadeoidales,Cycadeoidaceae,Cycadeoidea,marshiana,Species,tracheophytes; plants,North America,USA,South Dakota,Fall River County,Minnekahta,,North America; USA; South Dakota; Fall River County; Minnekahta,Lakota Fm,Cycadeoidea marshiana,Plantae; Tracheophyta; Gymnospermopsida; Cycadeoidales; Cycadeoidaceae,Early Cretaceous,,,Cycadeoidea marshiana (YPM PB 031517),http://collections.peabody.yale.edu/search/Record/YPM-PB-031517,43.430531,-103.68825,5828.0,urn:uuid:201778e0-d5f9-4883-bca0-59817316ab96,YPM PB 031517,PB number 31517; lot count 1,H. F. Wells,urn:uuid:0805c85e-de6b-4d41-b698-9ec83a582d73,urn:uuid:201778e0-d5f9-4883-bca0-59817316ab96,2022-03-09T21:55:46.000Z,Cycadeoidea marshiana,Dylan Young,5/5/2015,GEOLocate,"{ ""irn"": ""766274"", ""media"": ""573837:0805c85e-de6b-4d41-b698-9ec83a582d73"", ""mm_repository_id"": ""573837"", ""solr_long_lat"": ""-103.68825,43.430531"" }",
115,Fossil Leaf,/dev/shm/jrose3/2022-yale_fossils/image_thumbnails/res=512/urn:uuid:ec3c9ba7-6e4d-423c-9c4b-2eba9c34d397.jpg,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:ec3c9ba7-6e4d-423c-9c4b-2eba9c34d397.png,235.048336875,227.41197284722224,216.6930639583333,9.480350625,31.27073763888889,235.1902530555556,3000,4800,0.625,Plantae,Tracheophyta,,Equisetales,Equisetaceae,Equisetites,fertilis,Species,horsetails; tracheophytes; plants,South America,Argentina,,,,"Minas de Petroleo, Argentina; 32 km sw of Mendoza in western Argentina",South America; Argentina,Cacheuta Fm,Equisetites fertilis,Plantae; Tracheophyta; Equisetales; Equisetaceae,Middle Triassic,,,Equisetites fertilis (YPM PB 001109),http://collections.peabody.yale.edu/search/Record/YPM-PB-001109,-33.003674,-69.109285,12793.0,urn:uuid:a639bada-7ced-42a2-a67e-cc0e099eff46,YPM PB 001109,PB number 1109; lot count 1,George R. Wieland,urn:uuid:ec3c9ba7-6e4d-423c-9c4b-2eba9c34d397,urn:uuid:a639bada-7ced-42a2-a67e-cc0e099eff46,2021-04-28T21:46:19.000Z,Equisetites fertilis,,8/17/2020,GEOLocate,"{ ""irn"": ""739149"", ""media"": ""544094:ec3c9ba7-6e4d-423c-9c4b-2eba9c34d397"", ""mm_repository_id"": ""544094"", ""solr_long_lat"": ""-69.109285,-33.003674"" }",
116,Fossil Leaf,/dev/shm/jrose3/2022-yale_fossils/image_thumbnails/res=512/urn:uuid:94917e8f-83db-4b0b-b503-2c81575784f1.jpg,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:94917e8f-83db-4b0b-b503-2c81575784f1.png,233.56802091666663,225.2012765,201.300758375,29.362043625,39.740078375,233.68790916666663,4000,6000,0.6666666666666666,Plantae,Tracheophyta,Gymnospermopsida,Cycadeoidales,Cycadeoidaceae,Cycadeoidea,marshiana,Species,tracheophytes; plants,North America,USA,South Dakota,Fall River County,Minnekahta,,North America; USA; South Dakota; Fall River County; Minnekahta,Lakota Fm,Cycadeoidea marshiana,Plantae; Tracheophyta; Gymnospermopsida; Cycadeoidales; Cycadeoidaceae,Early Cretaceous,,,Cycadeoidea marshiana (YPM PB 041038),http://collections.peabody.yale.edu/search/Record/YPM-PB-041038,43.430531,-103.68825,5828.0,urn:uuid:745a1588-3110-4fc8-83e0-7a2a23379b03,YPM PB 041038,PB number 41038; lot count 1,H. F. Wells,urn:uuid:94917e8f-83db-4b0b-b503-2c81575784f1,urn:uuid:745a1588-3110-4fc8-83e0-7a2a23379b03,2022-03-09T21:55:46.000Z,Cycadeoidea marshiana,Dylan Young,5/5/2015,GEOLocate,"{ ""irn"": ""773075"", ""media"": ""580103:94917e8f-83db-4b0b-b503-2c81575784f1"", ""mm_repository_id"": ""580103"", ""solr_long_lat"": ""-103.68825,43.430531"", ""original_num"": ""S.772"" }",
117,Fossil Leaf,/dev/shm/jrose3/2022-yale_fossils/image_thumbnails/res=512/urn:uuid:766586e9-a080-4c2c-834a-bd71ad8ddba1.jpg,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:766586e9-a080-4c2c-834a-bd71ad8ddba1.png,234.27332904166667,232.59685541666667,225.115236375,32.653608041666665,14.668880458333334,234.60172620833333,4000,6000,0.6666666666666666,Plantae,Tracheophyta,Gymnospermopsida,Cycadeoidales,Cycadeoidaceae,Cycadeoidea,marshiana,Species,tracheophytes; plants,North America,USA,South Dakota,Fall River County,Minnekahta,"4 miles southwest of Minnekahta, middle of patch",North America; USA; South Dakota; Fall River County; Minnekahta,Lakota Fm,Cycadeoidea marshiana,Plantae; Tracheophyta; Gymnospermopsida; Cycadeoidales; Cycadeoidaceae,Early Cretaceous,,,Cycadeoidea marshiana (YPM PB 041526),http://collections.peabody.yale.edu/search/Record/YPM-PB-041526,43.390876,-103.747988,3036.0,urn:uuid:79b91ce1-cdc7-4924-8582-beb0d5ec7409,YPM PB 041526,PB number 41526; lot count 1,H. F. Wells,urn:uuid:766586e9-a080-4c2c-834a-bd71ad8ddba1,urn:uuid:79b91ce1-cdc7-4924-8582-beb0d5ec7409,2022-03-09T21:55:46.000Z,Cycadeoidea marshiana,Dylan Young,5/5/2015,GEOLocate,"{ ""irn"": ""773367"", ""media"": ""580127:766586e9-a080-4c2c-834a-bd71ad8ddba1"", ""mm_repository_id"": ""580127"", ""solr_long_lat"": ""-103.747988,43.390876"", ""original_num"": ""S. 235"" }",
118,Fossil Leaf,/dev/shm/jrose3/2022-yale_fossils/image_thumbnails/res=512/urn:uuid:942b3ddf-abdd-4726-aa84-a20cd7d7e8bb.jpg,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:942b3ddf-abdd-4726-aa84-a20cd7d7e8bb.png,233.63864654166667,220.13989875,202.01811025,23.38649620833333,36.78984895833333,233.671068875,4000,6000,0.6666666666666666,Plantae,Tracheophyta,Gymnospermopsida,Cycadeoidales,Cycadeoidaceae,Cycadeoidea,minnekahtensis,Species,tracheophytes; plants,,,,,,,,,Cycadeoidea minnekahtensis,Plantae; Tracheophyta; Gymnospermopsida; Cycadeoidales; Cycadeoidaceae,,,,Cycadeoidea minnekahtensis (YPM PB 002929),http://collections.peabody.yale.edu/search/Record/YPM-PB-002929,,,,urn:uuid:7670068b-faaa-43d7-9b7c-24b810e014dd,YPM PB 002929,PB number 2929; lot count 1,,urn:uuid:942b3ddf-abdd-4726-aa84-a20cd7d7e8bb,urn:uuid:7670068b-faaa-43d7-9b7c-24b810e014dd,2022-03-09T21:55:46.000Z,Cycadeoidea minnekahtensis,,,,"{ ""irn"": ""741409"", ""media"": ""98707:942b3ddf-abdd-4726-aa84-a20cd7d7e8bb"", ""mm_repository_id"": ""98707"", ""original_num"": ""S.227a"" }",
119,Fossil Leaf,/dev/shm/jrose3/2022-yale_fossils/image_thumbnails/res=512/urn:uuid:18a1bf5a-4404-451f-a918-ee2265613aeb.jpg,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:18a1bf5a-4404-451f-a918-ee2265613aeb.png,229.87359724012023,214.7651713962271,169.78397138293138,30.80734615984495,71.1918964488985,229.8866169548253,3104,4032,0.7698412698412699,Plantae,Tracheophyta,Gymnospermopsida,Cycadeoidales,Cycadeoidaceae,Monanthesia,magnifica,Species,tracheophytes; plants,North America,USA,New Mexico,San Juan County,San Juan Basin,,North America; USA; New Mexico; San Juan County; San Juan Basin,,Monanthesia magnifica,Plantae; Tracheophyta; Gymnospermopsida; Cycadeoidales; Cycadeoidaceae,,,,Monanthesia magnifica (YPM PB 002778),http://collections.peabody.yale.edu/search/Record/YPM-PB-002778,36.25549,-107.869434,134238.0,urn:uuid:2348eb4e-10da-4b88-8db6-82585355753a,YPM PB 002778,PB number 2778; lot count 1,George R. Wieland,urn:uuid:18a1bf5a-4404-451f-a918-ee2265613aeb,urn:uuid:2348eb4e-10da-4b88-8db6-82585355753a,2022-03-21T21:50:54.000Z,Monanthesia magnifica,Dylan Young,3/5/2015,GEOLocate,"{ ""irn"": ""741288"", ""media"": ""98586:18a1bf5a-4404-451f-a918-ee2265613aeb"", ""mm_repository_id"": ""98586"", ""solr_long_lat"": ""-107.869434,36.25549"", ""original_num"": ""S. M8.NS19"" }",
