,label,thumb_path,path,r,g,b,h,s,v,height,width,aspect_ratio,kingdom,phylum,class,order,family,genus,specificEpithet,taxonRank,vernacularName,continent,country,stateProvince,county,municipality,locality,higherGeography,formation,scientificName,higherClassification,earliestPeriodOrLowestSystem,earliestEpochOrLowestSeries,earliestAgeOrLowestStage,bibliographicCitation,references,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,occurrenceID,catalogNumber,occurrenceRemarks,recordedBy,identifier,id,modified,previousIdentifications,georeferencedBy,georeferencedDate,georeferenceSources,dynamicProperties,error
count,235,235,235,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,233,229,187,210,217,230,230,233,233,107,107,100,100,97,70,107,46,235,233,98,6,4,235,235,105.0,105.0,105.0,235,235,235,89,235,235,235,233,103,105,105,235,0
unique,3,235,235,,,,,,,,,,1,2,3,20,28,39,67,2,17,3,6,13,16,18,18,25,7,74,35,13,5,3,231,231,,,,231,231,231,9,235,231,10,73,3,17,1,231,0
top,unknown,/dev/shm/jrose3/2022-yale_fossils/image_thumbnails/res=512/urn:uuid:a3b5068e-22e4-4ea4-b318-68d67f3a9539.jpg,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:61cd9474-8967-42c2-ab1c-e5207620ba01.png,,,,,,,,,,Plantae,Tracheophyta,Gymnospermopsida,Cycadeoidales,Cycadeoidaceae,Cycadeoidea,sp.,Species,tracheophytes; plants,North America,USA,South Dakota,Fall River County,Minnekahta,"4 miles southwest of Minnekahta, middle of patch",North America; USA; South Dakota; Fall River County; Minnekahta,Lakota Fm,Cycadeoidea sp.,Plantae; Tracheophyta; Gymnospermopsida; Cycadeoidales; Cycadeoidaceae,Early Cretaceous,Late Eocene,Maastrichtian,Psaronius conjugatus (YPM PB 035827),http://collections.peabody.yale.edu/search/Record/YPM-PB-035827,,,,urn:uuid:14829c3f-26bb-4ba1-be6b-6808c34b6527,YPM PB 035827,Sectioned trunk of a tree fern. Central vascular portion and enclosing root mass.; PB number 35827; lot count 1,H. F. Wells,urn:uuid:914df0da-cd19-4b40-b701-24dbd6f7b402,urn:uuid:14829c3f-26bb-4ba1-be6b-6808c34b6527,2022-03-09T21:55:46.000Z,Cycadeoidea sp.,Dylan Young,5/5/2015,GEOLocate,"{ ""irn"": ""768886"", ""media"": ""409256:541e2bc8-fdc9-4254-b8e2-d11f1f9fec84 409257:44316add-5edc-4bd4-ab31-af0f0dd7af0b 531532:a59be105-025f-4ede-80d0-da9e673a1a63 531533:c8fd68e3-39f0-44d0-8c0a-8faf35882199"", ""mm_repository_id"": ""409256"", ""solr_long_lat"": ""12.91995,50.8292"" }",
freq,110,1,1,,,,,,,,,,233,228,181,177,177,172,35,230,188,98,92,69,62,59,19,59,32,32,177,68,2,2,3,3,,,,3,3,3,60,1,3,183,32,89,68,105,3,
mean,,,,235.11660256722186,230.12052301292908,213.22916044112074,38.0925811498116,30.712524383929114,237.94692713360473,4755.936170212766,5907.331914893617,0.8796755746050866,,,,,,,,,,,,,,,,,,,,,,,,,42.90059519047619,-92.89910582857144,19277.07619047619,,,,,,,,,,,,,
std,,,,8.217470741636507,9.336835227077914,17.821376287363616,25.818242543661082,16.882711289767315,5.768994007947411,1686.5345367858895,2348.841076399639,0.34970708766888153,,,,,,,,,,,,,,,,,,,,,,,,,8.48178929097864,29.681075226489256,55734.40788371206,,,,,,,,,,,,,
min,,,,211.3964086943301,191.77754754166668,122.32998965050554,4.308587430555556,4.53107910242657,228.74473884491175,419.0,477.0,0.6051873198847262,,,,,,,,,,,,,,,,,,,,,,,,,-33.003674,-113.169999,80.0,,,,,,,,,,,,,
25%,,,,230.33801092974292,223.99655495833332,202.0574014375,24.80649958333333,17.787016205008868,232.99345193055555,4000.0,4000.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,43.390876,-103.747988,3036.0,,,,,,,,,,,,,
50%,,,,235.4451985,231.03468129166663,214.64448091666668,31.29541620833333,29.14712125,237.69344339446107,4000.0,6000.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,43.430531,-103.68825,5828.0,,,,,,,,,,,,,
75%,,,,240.80225367555676,237.23891744684067,225.70688247916667,43.298714333333336,39.47054599215632,242.48663935416667,6000.0,6000.0,0.7908707308899248,,,,,,,,,,,,,,,,,,,,,,,,,43.431895,-103.628411,11191.0,,,,,,,,,,,,,
max,,,,253.3491868351064,251.9088209773936,248.84754454787236,193.0009029910996,125.64669247405992,253.45988264627655,8000.0,10688.0,1.6,,,,,,,,,,,,,,,,,,,,,,,,,50.8292,12.91995,364212.0,,,,,,,,,,,,,
