,label,thumb_path,path,r,g,b,h,s,v,height,width,aspect_ratio,kingdom,phylum,class,order,family,genus,specificEpithet,taxonRank,vernacularName,continent,country,stateProvince,county,municipality,locality,higherGeography,formation,scientificName,higherClassification,earliestPeriodOrLowestSystem,earliestEpochOrLowestSeries,earliestAgeOrLowestStage,bibliographicCitation,references,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,occurrenceID,catalogNumber,occurrenceRemarks,recordedBy,identifier,id,modified,previousIdentifications,georeferencedBy,georeferencedDate,georeferenceSources,dynamicProperties,error
count,16209,16209,16209,16209.0,16209.0,16209.0,16209.0,16209.0,16209.0,16209.0,16209.0,16209.0,16170,15282,4822,13717,8882,15209,14081,16170,16170,13829,13874,13231,12136,12005,5847,13874,10794,16208,16170,13330,7255,8310,16209,16209,13737.0,13737.0,13653.0,16209,16209,16209,12221,16209,16209,16209,16170,12899,13650,13670,16209,4
unique,1,16209,16209,,,,,,,,,,5,14,26,86,188,647,1294,11,82,5,31,62,191,358,371,483,115,2036,274,55,43,65,14937,14937,,,,14937,14937,12839,195,16209,14937,2146,2097,8,102,5,14937,2
top,,/dev/shm/jrose3/2022-yale_fossils/image_thumbnails/res=512/urn:uuid:f2c2583d-1358-4902-b7be-6252e733b79a.jpg,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:7bd992b4-b709-43ce-8563-ed1341c20c5a.png,,,,,,,,,,Plantae,Tracheophyta,Lycopsida,Marattiales,Calamitaceae,Pecopteris,sp.,Species,tracheophytes; plants,North America,USA,Illinois,Grundy County,Mazon Creek,Woodbridge Clay; Amboy Clays,North America; USA; Illinois; Grundy County; Mazon Creek,Carbondale Fm,Pecopteris sp.,Plantae; Tracheophyta; Marattiales,Middle Pennsylvanian,Carboniferous,Desmoinesian,Sigillaria ovata (YPM PB 000678),http://collections.peabody.yale.edu/search/Record/YPM-PB-045160,,,,urn:uuid:8d7421ea-3b6e-47b7-bc29-6e8188b00706,YPM PB 003129,leaf; PB number 73504; lot count 1; accn=YPM.10426,Samuel S. Strong,urn:uuid:26800df4-53a2-45c0-b045-368bcaf6239c,urn:uuid:8d7421ea-3b6e-47b7-bc29-6e8188b00706,2020-10-03T14:18:59.000Z,Pecopteris sp.,Dylan Young,2/4/2015,GEOLocate,"{ ""irn"": ""738576"", ""media"": ""409243:87c656ad-ac16-4d0c-a3db-8ef31d5785c4 409244:1d95fc39-73cc-4e48-b302-23db440e3103 531497:8f24a4e7-add9-48d2-90f5-30691dee0d6a 531498:4de61ab7-9025-4fbf-946d-ec0c9ed25cf6 840794:7be84dbb-d7c4-4b98-a574-7d6f88c4e49d"", ""mm_repository_id"": ""409243"" }",image file is truncated (0 bytes not processed)
freq,16209,1,1,,,,,,,,,,16136,15167,1745,4206,1720,4166,6412,13890,10637,13158,12756,4894,4856,4841,423,4841,4855,3540,4190,5035,4603,4848,5,5,,,,5,5,6,4773,1,5,5202,3522,11788,4885,13574,5,3
mean,,,,138.52522224624803,111.64668714936114,78.50128426666716,31.516896755851167,118.93107250098669,138.9024362965308,2645.956937503856,2832.1993337034983,1.0067169680138233,,,,,,,,,,,,,,,,,,,,,,,,,39.719898669498434,-87.57172384820558,22943.34798212847,,,,,,,,,,,,,
std,,,,34.62954357344506,32.563947898415115,33.720127281183345,18.13296463733681,44.60992218395705,34.742855832084615,1046.969007557144,1114.5803620420127,0.43770577984595993,,,,,,,,,,,,,,,,,,,,,,,,,11.080873119155553,24.343185200505452,138034.16079587693,,,,,,,,,,,,,
min,,,,18.63600645738345,18.239819636285528,9.77673703072272,4.421629654040266,4.357011901963717,19.676071601776787,198.0,284.0,0.1133333333333333,,,,,,,,,,,,,,,,,,,,,,,,,-49.04506,-151.534349,80.0,,,,,,,,,,,,,
25%,,,,115.76844038594074,90.13585928071896,56.03873807546408,21.883873130268736,89.75520382050628,116.01631534481676,1988.0,2039.0,0.6735785953177258,,,,,,,,,,,,,,,,,,,,,,,,,40.477884,-98.20473,2929.0,,,,,,,,,,,,,
50%,,,,140.84688567175752,111.09941831937252,71.68961167365137,25.34338986156352,126.14614513023209,141.18523944984534,2586.0,2990.0,0.8561643835616438,,,,,,,,,,,,,,,,,,,,,,,,,41.285087,-88.418495,12489.0,,,,,,,,,,,,,
75%,,,,162.741987001468,131.03227703793382,91.57535097307957,31.59376407563726,151.44596128882736,163.08988148271277,2990.0,2990.0,1.238532110091743,,,,,,,,,,,,,,,,,,,,,,,,,41.734218,-80.475622,14542.0,,,,,,,,,,,,,
max,,,,228.66884375,227.2492087270771,225.2296134532789,178.83897727272728,232.73608208786663,228.7072908331428,8000.0,10688.0,5.588785046728972,,,,,,,,,,,,,,,,,,,,,,,,,70.684884,151.784485,2711562.0,,,,,,,,,,,,,
