,label,thumb_path,path,r,g,b,h,s,v,height,width,aspect_ratio,kingdom,phylum,class,order,family,genus,specificEpithet,taxonRank,vernacularName,continent,country,stateProvince,county,municipality,locality,higherGeography,formation,scientificName,higherClassification,earliestPeriodOrLowestSystem,earliestEpochOrLowestSeries,earliestAgeOrLowestStage,bibliographicCitation,references,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,occurrenceID,catalogNumber,occurrenceRemarks,recordedBy,identifier,id,modified,previousIdentifications,georeferencedBy,georeferencedDate,georeferenceSources,dynamicProperties,error
0,unknown,/dev/shm/jrose3/2022-yale_fossils/image_thumbnails/res=512/urn:uuid:6e9bf404-6338-4bac-a39d-9e82df01097f.jpg,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:6e9bf404-6338-4bac-a39d-9e82df01097f.png,253.3491868351064,251.9088209773936,248.84754454787236,6.2235525265957445,5.515869182180851,253.45988264627655,3008,2000,1.504,Plantae,Tracheophyta,Gymnospermopsida,Cycadeoidales,Cycadeoidaceae,Cycadeoidea,wielandi,Species,tracheophytes; plants,North America,USA,South Dakota,Fall River County,Minnekahta,"4 miles southwest of Minnekahta, middle of patch",North America; USA; South Dakota; Fall River County; Minnekahta,Lakota Fm,Cycadeoidea wielandi,Plantae; Tracheophyta; Gymnospermopsida; Cycadeoidales; Cycadeoidaceae,Early Cretaceous,,,Cycadeoidea wielandi (YPM PB 044658),http://collections.peabody.yale.edu/search/Record/YPM-PB-044658,43.390876,-103.747988,3036.0,urn:uuid:cfe6b091-5475-4244-a553-dfe9ae5a8c71,YPM PB 044658,PB number 44658; lot count 1,H. F. Wells,urn:uuid:6e9bf404-6338-4bac-a39d-9e82df01097f,urn:uuid:cfe6b091-5475-4244-a553-dfe9ae5a8c71,2022-03-09T21:55:46.000Z,Cycadeoidea wielandi,Dylan Young,5/5/2015,GEOLocate,"{ ""irn"": ""2115370"", ""media"": ""580136:6e9bf404-6338-4bac-a39d-9e82df01097f"", ""mm_repository_id"": ""580136"", ""solr_long_lat"": ""-103.747988,43.390876"" }",
1,unknown,/dev/shm/jrose3/2022-yale_fossils/image_thumbnails/res=512/urn:uuid:850a7bb9-305a-443f-b805-66251bebbfc5.jpg,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:850a7bb9-305a-443f-b805-66251bebbfc5.png,236.70051375,233.46325966666663,224.83335925,26.637081041666665,15.645271541666666,237.017940375,4000,6000,0.6666666666666666,Plantae,Tracheophyta,Gymnospermopsida,Cycadeoidales,Cycadeoidaceae,Cycadeoidea,excelsa,Species,tracheophytes; plants,,,,,,,,,Cycadeoidea excelsa,Plantae; Tracheophyta; Gymnospermopsida; Cycadeoidales; Cycadeoidaceae,,,,Cycadeoidea excelsa (YPM PB 002948),http://collections.peabody.yale.edu/search/Record/YPM-PB-002948,,,,urn:uuid:592fd7ae-6c2f-47be-a729-11d676828500,YPM PB 002948,PB number 2948; lot count 1,,urn:uuid:850a7bb9-305a-443f-b805-66251bebbfc5,urn:uuid:592fd7ae-6c2f-47be-a729-11d676828500,2022-03-09T21:55:46.000Z,Cycadeoidea excelsa,,,,"{ ""irn"": ""741428"", ""media"": ""98725:850a7bb9-305a-443f-b805-66251bebbfc5"", ""mm_repository_id"": ""98725"", ""original_num"": ""S.187"" }",
2,unknown,/dev/shm/jrose3/2022-yale_fossils/image_thumbnails/res=512/urn:uuid:f6ee82fb-b1f0-48e0-a07b-95687f59d716.jpg,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:f6ee82fb-b1f0-48e0-a07b-95687f59d716.png,237.00782970833333,224.63507645833332,198.00205866666667,34.679739375,48.10942779166667,237.1259487083333,4000,6000,0.6666666666666666,Plantae,Tracheophyta,Gymnospermopsida,Cycadeoidales,Cycadeoidaceae,Cycadeoidea,dacotensis,Species,tracheophytes; plants,North America,USA,South Dakota,Fall River County,Minnekahta,near Minnekahta,North America; USA; South Dakota; Fall River County; Minnekahta,,Cycadeoidea dacotensis,Plantae; Tracheophyta; Gymnospermopsida; Cycadeoidales; Cycadeoidaceae,Early Cretaceous,,,Cycadeoidea dacotensis (YPM PB 005151),http://collections.peabody.yale.edu/search/Record/YPM-PB-005151,43.430531,-103.68825,5828.0,urn:uuid:888ae517-222e-4457-bb60-8e5067ced33c,YPM PB 005151,PB number 5151; lot count 1,H. F. Wells,urn:uuid:f6ee82fb-b1f0-48e0-a07b-95687f59d716,urn:uuid:888ae517-222e-4457-bb60-8e5067ced33c,2022-03-09T21:55:46.000Z,Cycadeoidea dacotensis,Dylan Young,5/5/2015,GEOLocate,"{ ""irn"": ""744156"", ""media"": ""517451:f6ee82fb-b1f0-48e0-a07b-95687f59d716"", ""mm_repository_id"": ""517451"", ""solr_long_lat"": ""-103.68825,43.430531"" }",
3,unknown,/dev/shm/jrose3/2022-yale_fossils/image_thumbnails/res=512/urn:uuid:1daedebe-c63a-4b21-b6a8-830e0d5eae0d.jpg,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:1daedebe-c63a-4b21-b6a8-830e0d5eae0d.png,237.10572891666664,231.84632375,223.2202525,30.38864875,23.864129166666668,237.1326794583333,4000,6000,0.6666666666666666,Plantae,Tracheophyta,Gymnospermopsida,Cycadeoidales,Cycadeoidaceae,Cycadeoidea,ferrettiana,Species,tracheophytes; plants,,,,,,,,,Cycadeoidea ferrettiana,Plantae; Tracheophyta; Gymnospermopsida; Cycadeoidales; Cycadeoidaceae,,,,Cycadeoidea ferrettiana (YPM PB 003003),http://collections.peabody.yale.edu/search/Record/YPM-PB-003003,,,,urn:uuid:b2b9ee83-c5a3-4c46-ad0d-7978b417ad04,YPM PB 003003,PB number 3003; lot count 1; accn=YPM.02992,,urn:uuid:1daedebe-c63a-4b21-b6a8-830e0d5eae0d,urn:uuid:b2b9ee83-c5a3-4c46-ad0d-7978b417ad04,2022-03-09T21:55:46.000Z,Cycadeoidea ferrettiana,,,,"{ ""irn"": ""741487"", ""media"": ""98772:1daedebe-c63a-4b21-b6a8-830e0d5eae0d"", ""mm_repository_id"": ""98772"" }",
4,unknown,/dev/shm/jrose3/2022-yale_fossils/image_thumbnails/res=512/urn:uuid:026d4656-0d6e-4077-9cbf-8b46969dc57d.jpg,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:026d4656-0d6e-4077-9cbf-8b46969dc57d.png,237.1540915,228.7972853333333,217.72710729166667,26.71210425,26.766577666666667,237.42459575,4000,6000,0.6666666666666666,Plantae,Tracheophyta,Gymnospermopsida,Cycadeoidales,Cycadeoidaceae,Cycadeoidea,dacotensis,Species,tracheophytes; plants,,,,,,,,,Cycadeoidea dacotensis,Plantae; Tracheophyta; Gymnospermopsida; Cycadeoidales; Cycadeoidaceae,,,,Cycadeoidea dacotensis (YPM PB 005107),http://collections.peabody.yale.edu/search/Record/YPM-PB-005107,,,,urn:uuid:d4afea40-a8dd-49d3-ab2b-558bcd470d41,YPM PB 005107,PB number 5107; lot count 1,,urn:uuid:026d4656-0d6e-4077-9cbf-8b46969dc57d,urn:uuid:d4afea40-a8dd-49d3-ab2b-558bcd470d41,2022-03-09T21:55:46.000Z,Cycadeoidea dacotensis,,,,"{ ""irn"": ""744112"", ""media"": ""431016:026d4656-0d6e-4077-9cbf-8b46969dc57d"", ""mm_repository_id"": ""431016"", ""original_num"": ""S.309"" }",
5,unknown,/dev/shm/jrose3/2022-yale_fossils/image_thumbnails/res=512/urn:uuid:96ddbbdf-f17b-4662-a4de-0b652b6f5f06.jpg,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:96ddbbdf-f17b-4662-a4de-0b652b6f5f06.png,237.15553279166667,233.97049641666663,220.62225916666668,41.27840904166667,21.004718,237.501457375,4000,6000,0.6666666666666666,Plantae,Tracheophyta,Gymnospermopsida,Cycadeoidales,Cycadeoidaceae,Cycadeoidea,turrita,Species,tracheophytes; plants,,,,,,,,,Cycadeoidea turrita,Plantae; Tracheophyta; Gymnospermopsida; Cycadeoidales; Cycadeoidaceae,,,,Cycadeoidea turrita (YPM PB 005032),http://collections.peabody.yale.edu/search/Record/YPM-PB-005032,,,,urn:uuid:0b036e99-92dc-4398-aef5-6d2910fa2600,YPM PB 005032,PB number 5032; lot count 1,,urn:uuid:96ddbbdf-f17b-4662-a4de-0b652b6f5f06,urn:uuid:0b036e99-92dc-4398-aef5-6d2910fa2600,2022-03-09T21:55:46.000Z,Cycadeoidea turrita,,,,"{ ""irn"": ""744037"", ""media"": ""98841:96ddbbdf-f17b-4662-a4de-0b652b6f5f06 841948:e0216e27-0ecb-45df-9882-0b589c967c0e"", ""mm_repository_id"": ""98841"" }",
6,unknown,/dev/shm/jrose3/2022-yale_fossils/image_thumbnails/res=512/urn:uuid:084afe81-4a03-40cd-b076-5dfa3a3a53ca.jpg,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:084afe81-4a03-40cd-b076-5dfa3a3a53ca.png,237.70057566666668,224.7269673333333,210.85260866666667,29.241248791666667,33.16009233333333,237.80821720833333,4000,6000,0.6666666666666666,Plantae,Tracheophyta,Gymnospermopsida,Cycadeoidales,Cycadeoidaceae,Cycadeoidea,excelsa,Species,tracheophytes; plants,,,,,,,,,Cycadeoidea excelsa?,Plantae; Tracheophyta; Gymnospermopsida; Cycadeoidales; Cycadeoidaceae,,,,Cycadeoidea excelsa? (YPM PB 002951),http://collections.peabody.yale.edu/search/Record/YPM-PB-002951,,,,urn:uuid:553cf63f-3de9-47af-bbdb-50b78213c5ec,YPM PB 002951,PB number 2951; lot count 1,,urn:uuid:084afe81-4a03-40cd-b076-5dfa3a3a53ca,urn:uuid:553cf63f-3de9-47af-bbdb-50b78213c5ec,2022-03-09T21:55:46.000Z,Cycadeoidea excelsa?,,,,"{ ""irn"": ""741430"", ""media"": ""98727:084afe81-4a03-40cd-b076-5dfa3a3a53ca"", ""mm_repository_id"": ""98727"", ""original_num"": ""S.184"" }",
7,unknown,/dev/shm/jrose3/2022-yale_fossils/image_thumbnails/res=512/urn:uuid:774a6cf2-def7-4f4b-9374-127738e07fad.jpg,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:774a6cf2-def7-4f4b-9374-127738e07fad.png,238.10605166666667,234.01856766666663,221.46270070833333,38.51736520833333,20.951422791666666,238.39408783333332,6000,4000,1.5,Plantae,Tracheophyta,Gymnospermopsida,Cycadeoidales,Cycadeoidaceae,Cycadeoidea,marshiana,Species,tracheophytes; plants,,,,,,,,,Cycadeoidea marshiana,Plantae; Tracheophyta; Gymnospermopsida; Cycadeoidales; Cycadeoidaceae,,,,Cycadeoidea marshiana (YPM PB 031511),http://collections.peabody.yale.edu/search/Record/YPM-PB-031511,,,,urn:uuid:12fed673-6915-428e-8e07-9e550bfc7498,YPM PB 031511,PB number 31511; lot count 1,,urn:uuid:774a6cf2-def7-4f4b-9374-127738e07fad,urn:uuid:12fed673-6915-428e-8e07-9e550bfc7498,2022-03-09T21:55:46.000Z,Cycadeoidea marshiana,,,,"{ ""irn"": ""766269"", ""media"": ""573832:774a6cf2-def7-4f4b-9374-127738e07fad"", ""mm_repository_id"": ""573832"" }",
8,unknown,/dev/shm/jrose3/2022-yale_fossils/image_thumbnails/res=512/urn:uuid:8b85c1f6-9d6c-4ed0-8edb-e097b6924b59.jpg,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:8b85c1f6-9d6c-4ed0-8edb-e097b6924b59.png,239.07232429166663,237.3107654583333,233.72327404166663,17.935858,9.824469041666667,239.37119008333332,4000,6000,0.6666666666666666,Plantae,Tracheophyta,Gymnospermopsida,Cycadeoidales,Cycadeoidaceae,Cycadeoidea,marshiana,Species,tracheophytes; plants,,,,,,,,,Cycadeoidea marshiana,Plantae; Tracheophyta; Gymnospermopsida; Cycadeoidales; Cycadeoidaceae,,,,Cycadeoidea marshiana (YPM PB 031514),http://collections.peabody.yale.edu/search/Record/YPM-PB-031514,,,,urn:uuid:a92a0e92-e107-495d-93fa-12fceeb135d0,YPM PB 031514,PB number 31514; lot count 1,,urn:uuid:8b85c1f6-9d6c-4ed0-8edb-e097b6924b59,urn:uuid:a92a0e92-e107-495d-93fa-12fceeb135d0,2022-03-09T21:55:46.000Z,Cycadeoidea marshiana,,,,"{ ""irn"": ""766271"", ""media"": ""573834:8b85c1f6-9d6c-4ed0-8edb-e097b6924b59"", ""mm_repository_id"": ""573834"" }",
9,unknown,/dev/shm/jrose3/2022-yale_fossils/image_thumbnails/res=512/urn:uuid:bee51756-5f10-408a-94ae-9a59a05b8ddc.jpg,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:bee51756-5f10-408a-94ae-9a59a05b8ddc.png,239.47927954166667,229.68719229166663,213.12176241666663,33.067768375,32.0390225,239.5155985,4000,6000,0.6666666666666666,Plantae,Tracheophyta,Gymnospermopsida,Cycadeoidales,Cycadeoidaceae,Cycadeoidea,dacotensis,Species,tracheophytes; plants,,,,,,,,,Cycadeoidea dacotensis,Plantae; Tracheophyta; Gymnospermopsida; Cycadeoidales; Cycadeoidaceae,,,,Cycadeoidea dacotensis (YPM PB 005100),http://collections.peabody.yale.edu/search/Record/YPM-PB-005100,,,,urn:uuid:dfa483b1-bc94-46aa-81fd-2e9886802ea8,YPM PB 005100,PB number 5100; lot count 1,,urn:uuid:bee51756-5f10-408a-94ae-9a59a05b8ddc,urn:uuid:dfa483b1-bc94-46aa-81fd-2e9886802ea8,2022-03-09T21:55:46.000Z,Cycadeoidea dacotensis,,,,"{ ""irn"": ""744105"", ""media"": ""431011:bee51756-5f10-408a-94ae-9a59a05b8ddc"", ""mm_repository_id"": ""431011"", ""original_num"": ""S.301"" }",
