,Family,count,normalized_cumsum
0,Fabaceae,2301,0.0879049511002445
1,Sapindaceae,1237,0.1351619804400978
2,Annonaceae,1208,0.18131112469437652
3,Rubiaceae,1192,0.22684902200489
4,Rosaceae,1163,0.27127903422982885
5,Malvaceae,993,0.3092145476772616
6,Ericaceae,942,0.3452017114914425
7,Salicaceae,772,0.3746943765281174
8,Apocynaceae,548,0.39562958435207823
9,Fagaceae,527,0.4157625305623472
10,Rhamnaceae,476,0.4339471271393643
11,Rutaceae,474,0.45205531784841074
12,Meliaceae,399,0.4672982885085575
13,Celastraceae,379,0.4817772004889976
14,Myrtaceae,350,0.4951482273838631
15,Hamamelidaceae,326,0.5076023838630807
16,Euphorbiaceae,326,0.5200565403422983
17,Lauraceae,324,0.5324342909535452
18,Anacardiaceae,321,0.5446974327628362
19,Betulaceae,315,0.5567313569682152
20,Sapotaceae,286,0.5676573960880196
21,Menispermaceae,286,0.578583435207824
22,Myristicaceae,264,0.5886690097799511
23,Moraceae,247,0.5981051344743277
24,Lythraceae,215,0.6063187652811736
25,Onagraceae,213,0.6144559902200489
26,Ebenaceae,210,0.6224786063569682
27,Melastomataceae,208,0.6304248166259169
28,Araliaceae,204,0.6382182151589242
29,Juglandaceae,204,0.6460116136919315
30,Malpighiaceae,203,0.6537668092909535
31,Oleaceae,200,0.6614073960880196
32,Ochnaceae,194,0.6688187652811736
33,Acanthaceae,185,0.6758863080684596
34,Cornaceae,180,0.6827628361858191
35,Proteaceae,176,0.6894865525672371
36,Burseraceae,171,0.6960192542787286
37,Dilleniaceae,167,0.7023991442542787
38,Combretaceae,164,0.7086644254278729
39,Hydrangeaceae,162,0.7148533007334963
40,Bignoniaceae,161,0.7210039731051344
41,Sabiaceae,155,0.7269254278728606
42,Lecythidaceae,154,0.7328086797066015
43,Cunoniaceae,150,0.738539119804401
44,Magnoliaceae,148,0.7441931540342298
45,Schisandraceae,145,0.7497325794621027
46,Thymelaeaceae,135,0.7548899755501223
47,Icacinaceae,133,0.7599709657701712
48,Aquifoliaceae,125,0.7647463325183375
49,Lamiaceae,115,0.7691396699266504
50,Apiaceae,114,0.773494804400978
51,Ulmaceae,113,0.7778117359413202
52,Phyllanthaceae,109,0.7819758557457213
53,Achariaceae,109,0.7861399755501223
54,Dipterocarpaceae,108,0.7902658924205379
55,Polygalaceae,106,0.7943154034229829
56,Passifloraceae,103,0.7982503056234719
57,Clusiaceae,99,0.8020323960880196
58,Chrysobalanaceae,98,0.8057762836185819
59,Olacaceae,95,0.8094055623471883
60,Elaeocarpaceae,92,0.8129202322738386
61,Asteraceae,92,0.816434902200489
62,Primulaceae,91,0.819911369193154
63,Caprifoliaceae,88,0.8232732273838631
64,Pentaphylacaceae,88,0.8266350855745721
65,Grossulariaceae,86,0.8299205378973105
66,Saxifragaceae,84,0.8331295843520783
67,Cannabaceae,83,0.8363004278728606
68,Calophyllaceae,81,0.8393948655256723
69,Rhizophoraceae,80,0.8424511002444988
70,Berberidaceae,77,0.8453927261613692
71,Monimiaceae,75,0.848257946210269
72,Winteraceae,74,0.8510849633251834
73,Violaceae,74,0.8539119804400978
74,Crassulaceae,73,0.8567007946210269
75,Ranunculaceae,72,0.8594514058679706
76,Platanaceae,71,0.8621638141809291
77,Vitaceae,70,0.8648380195599022
78,Santalaceae,70,0.8675122249388753
79,Loranthaceae,70,0.8701864303178484
80,Simaroubaceae,69,0.8728224327628362
