,Family,count,normalized_cumsum
0,Lauraceae,108,0.14285714285714285
1,Fabaceae,82,0.25132275132275134
2,Platanaceae,70,0.3439153439153439
3,Betulaceae,42,0.3994708994708995
4,Proteaceae,42,0.455026455026455
5,Ulmaceae,39,0.5066137566137566
6,Anacardiaceae,37,0.5555555555555556
7,Sapindaceae,36,0.6031746031746031
8,Malvaceae,31,0.6441798941798942
9,Cercidiphyllaceae,27,0.6798941798941799
10,Cunoniaceae,22,0.708994708994709
11,Fagaceae,21,0.7367724867724867
12,Rosaceae,21,0.7645502645502645
13,Rhamnaceae,21,0.7923280423280423
14,Myrtaceae,19,0.8174603174603174
15,Cornaceae,18,0.8412698412698413
16,Salicaceae,18,0.8650793650793651
17,Atherospermataceae,16,0.8862433862433863
18,Juglandaceae,11,0.9007936507936508
19,Trochodendraceae,11,0.9153439153439153
20,Menispermaceae,10,0.9285714285714286
21,Akaniaceae,9,0.9404761904761905
22,Araceae,8,0.951058201058201
23,Euphorbiaceae,5,0.9576719576719577
24,Arecaceae,4,0.9629629629629629
25,Meliaceae,3,0.966931216931217
26,Cannabaceae,3,0.9708994708994709
27,Zingiberaceae,3,0.9748677248677249
28,Iteaceae,3,0.9788359788359788
29,Hamamelidaceae,2,0.9814814814814815
30,Ericaceae,2,0.9841269841269841
31,Altingiaceae,2,0.9867724867724867
32,Schoepfiaceae,2,0.9894179894179894
33,Theaceae,2,0.9920634920634921
34,Rhipogonaceae,2,0.9947089947089947
35,Magnoliaceae,1,0.996031746031746
36,Myricaceae,1,0.9973544973544973
37,Monimiaceae,1,0.9986772486772487
38,Apocynaceae,1,1.0
