,Genus,count,normalized_cumsum
0,Quercus,395,0.015090158924205378
1,Salix,351,0.028499388753056236
2,Acer,236,0.03751528117359413
3,Prunus,218,0.04584352078239609
4,Diospyros,187,0.05298746943765281
5,Rhododendron,139,0.058297677261613695
6,Alnus,134,0.06341687041564792
7,Meliosma,127,0.06826864303178484
8,Populus,123,0.07296760391198044
9,Ilex,123,0.07766656479217604
10,Calliandra,119,0.08221271393643031
11,Rubus,117,0.08668245721271393
12,Rhamnus,111,0.09092298288508557
13,Vaccinium,107,0.09501069682151589
14,Hymenaea,105,0.09902200488997555
15,Ficus,103,0.10295690709046455
16,Cassia,100,0.10677720048899755
17,Desmodium,99,0.11055929095354523
18,Rosa,96,0.11422677261613692
19,Ceanothus,88,0.11758863080684596
20,Betula,84,0.1207976772616137
21,Hibbertia,84,0.12400672371638141
22,Inga,83,0.1271775672371638
23,Rhus,82,0.13031020782396088
24,Magnolia,81,0.1334046454767726
25,Tilia,78,0.13638447432762837
26,Psychotria,78,0.1393643031784841
27,Senna,76,0.1422677261613692
28,Acacia,75,0.14513294621026895
29,Ulmus,75,0.1479981662591687
30,Ribes,73,0.1507869804400978
31,Platanus,71,0.15349938875305624
32,Casearia,70,0.15617359413202933
33,Sorbus,70,0.15884779951100245
34,Fraxinus,70,0.16152200488997556
35,Gaultheria,69,0.16415800733496333
36,Bursera,69,0.1667940097799511
37,Lonchocarpus,68,0.16939180929095354
38,Potentilla,68,0.171989608801956
39,Illicium,66,0.17451100244498777
40,Corylopsis,66,0.17703239608801957
41,Annona,66,0.17955378973105135
42,Euonymus,64,0.18199877750611246
43,Grewia,64,0.1844437652811736
44,Combretum,64,0.18688875305623473
45,Philadelphus,62,0.1892573349633252
46,Malus,62,0.19162591687041564
47,Ouratea,62,0.1939944987775061
48,Xylopia,61,0.19632487775061125
49,Terminalia,60,0.19861705378973105
50,Spiraea,59,0.20087102689486552
51,Maytenus,59,0.203125
52,Caesalpinia,57,0.2053025672371638
53,Weinmannia,57,0.20748013447432762
54,Triumfetta,57,0.20965770171149145
55,Carpinus,56,0.21179706601466994
56,Carya,55,0.21389822738386308
57,Allophylus,53,0.21592298288508557
58,Albizia,53,0.21794773838630807
59,Trichilia,53,0.21997249388753057
60,Polyalthia,52,0.22195904645476772
61,Juglans,51,0.22390739608801957
62,Celtis,51,0.2258557457212714
63,Alangium,50,0.2277658924205379
64,Drimys,50,0.2296760391198044
65,Nothofagus,50,0.2315861858190709
66,Zanthoxylum,49,0.23345812958435208
67,Melochia,48,0.23529187041564792
68,Pithecellobium,47,0.23708740831295844
69,Hamamelis,47,0.23888294621026895
70,Arctostaphylos,46,0.24064028117359412
71,Cornus,45,0.242359413202934
72,Eucalyptus,44,0.2440403422982885
73,Hydrangea,44,0.24572127139364303
74,Schisandra,44,0.24740220048899755
75,Virola,44,0.24908312958435208
76,Guatteria,43,0.25072585574572126
77,Phyllanthus,43,0.25236858190709044
78,Myristica,42,0.25397310513447435
79,Crataegus,41,0.25553942542787283
80,Knema,41,0.2571057457212714
81,Pittosporum,41,0.2586720660146699
82,Serjania,41,0.26023838630806845
83,Viburnum,40,0.26176650366748166
84,Clematis,40,0.2632946210268949
85,Eugenia,40,0.26482273838630804
86,Melia,40,0.26635085574572126
87,Calophyllum,39,0.26784077017114916
88,Saxifraga,39,0.269330684596577
89,Ixora,39,0.2708205990220049
90,Cuphea,38,0.2722723105134474
91,Arbutus,38,0.27372402200489
92,Celastrus,38,0.2751757334963325
93,Galactia,38,0.2766274449877751
94,Rollinia,37,0.2780409535452323
95,Castanopsis,37,0.2794544621026895
96,Cotoneaster,37,0.2808679706601467
97,Erythrina,36,0.28224327628361856
98,Schefflera,35,0.2835803789731051
99,Lithocarpus,35,0.2849174816625917
100,Pyrus,35,0.28625458435207823
101,Kadsura,35,0.2875916870415648
102,Elaeocarpus,35,0.28892878973105135
103,Saurauia,35,0.2902658924205379
104,Guarea,34,0.29156479217603914
105,Phoebe,34,0.2928636919315403
106,Byttneria,34,0.29416259168704156
107,Mahonia,33,0.2954232885085575
108,Colubrina,33,0.29668398533007334
109,Uvaria,33,0.29794468215158926
110,Bauhinia,33,0.2992053789731051
111,Ledum,33,0.30046607579462103
112,Aglaia,33,0.3017267726161369
113,Byrsonima,33,0.3029874694376528
114,Paullinia,32,0.30420996332518335
115,Bejaria,32,0.30543245721271395
116,Randia,32,0.3066549511002445
117,Ocotea,32,0.3078774449877751
118,Nyssa,32,0.3090999388753056
119,Fuchsia,32,0.31032243276283616
120,Acalypha,31,0.31150672371638144
121,Beilschmiedia,31,0.31269101466992666
122,Gouania,31,0.3138753056234719
123,Garcinia,31,0.3150595965770171
124,Photinia,31,0.3162438875305624
125,Artabotrys,31,0.3174281784841076
126,Duguetia,31,0.3186124694376528
127,Securidaca,31,0.31979676039119803
128,Cedrela,31,0.32098105134474325
129,Sedum,31,0.3221653422982885
130,Lopezia,30,0.3233114303178484
131,Xylosma,30,0.3244575183374083
132,Epilobium,30,0.3256036063569682
133,Aphelandra,29,0.3267114914425428
134,Berchemia,29,0.3278193765281174
135,Dodonaea,29,0.32892726161369196
136,Alfaroa,29,0.3300351466992665
137,Ludwigia,29,0.33114303178484106
138,Dalbergia,29,0.33225091687041564
139,Tetracera,29,0.3333588019559902
140,Gnetum,28,0.33442848410757947
141,Cercocarpus,28,0.33549816625916873
142,Litsea,28,0.33656784841075793
143,Eschweilera,28,0.3376375305623472
144,Timonius,28,0.33870721271393645
145,Michelia,28,0.33977689486552565
146,Iryanthera,28,0.3408465770171149
147,Distylium,28,0.34191625916870416
148,Eurya,28,0.3429859413202934
149,Chrysophyllum,27,0.3440174205378973
150,Canarium,27,0.34504889975550124
151,Leucothoe,27,0.3460803789731051
152,Anaxagorea,27,0.34711185819070906
153,Itea,26,0.3481051344743276
154,Citharexylum,26,0.34909841075794623
155,Fagus,26,0.3500916870415648
156,Sabia,26,0.35108496332518335
157,Garrya,26,0.35207823960880197
158,Barringtonia,26,0.35307151589242053
159,Hippocratea,26,0.35406479217603914
160,Rinorea,26,0.3550580684596577
161,Koelreuteria,25,0.35601314180929094
162,Polygala,25,0.3569682151589242
163,Persea,25,0.3579232885085575
164,Hedyosmum,25,0.3588783618581907
165,Pterocarya,25,0.35983343520782396
166,Eryngium,25,0.3607885085574572
167,Myrtus,25,0.36174358190709044
168,Licania,25,0.36269865525672373
169,Vitis,25,0.363653728606357
170,Jasminum,25,0.3646088019559902
171,Engelhardia,25,0.36556387530562345
172,Altingia,25,0.36651894865525675
173,Coccoloba,25,0.36747402200489
174,Cupania,25,0.36842909535452323
175,Myrica,25,0.36938416870415647
176,Sterculia,25,0.3703392420537897
177,Cassipourea,24,0.3712561124694376
178,Castanea,24,0.3721729828850856
179,Amelanchier,24,0.3730898533007335
180,Manilkara,24,0.37400672371638144
181,Asimina,24,0.37492359413202936
182,Aralia,24,0.3758404645476773
183,Liquidambar,24,0.3767573349633252
184,Luehea,24,0.3776742053789731
185,Oxandra,24,0.37859107579462103
186,Salacia,24,0.37950794621026895
187,Trichocladus,23,0.38038661369193155
188,Shorea,23,0.38126528117359415
189,Sloanea,23,0.38214394865525675
190,Callicarpa,23,0.3830226161369193
191,Desmopsis,23,0.3839012836185819
192,Popowia,23,0.3847799511002445
193,Dysoxylum,23,0.3856586185819071
194,Phoradendron,23,0.3865372860635697
195,Morinda,23,0.3874159535452323
196,Schoepfia,23,0.3882946210268949
197,Mitrephora,23,0.3891732885085575
198,Chamaesyce,22,0.3900137530562347
199,Escallonia,22,0.390854217603912
200,Ziziphus,22,0.39169468215158926
201,Canthium,22,0.3925351466992665
202,Canavalia,22,0.39337561124694376
203,Cynometra,22,0.39421607579462103
204,Leucaena,22,0.3950565403422983
205,Davilla,22,0.39589700488997553
