,Species,count,normalized_cumsum
0,Hymenaea courbaril,42,0.001604523227383863
1,Alnus incana,32,0.0028270171149144254
2,Meliosma simplicifolia,26,0.003820293398533007
3,Melia azedarach,23,0.004698960880195599
4,Hamamelis japonica,19,0.00542481662591687
5,Hamamelis virginiana,18,0.006112469437652812
6,Platanus acerifolia,17,0.006761919315403423
7,Platanus occidentalis,17,0.0074113691931540346
8,Alfaroa costaricensis,16,0.008022616136919316
9,Eucommia ulmoides,14,0.008557457212713936
10,Nyssa sylvatica,13,0.009054095354523227
11,Quercus alba,13,0.009550733496332519
12,Tilia americana,12,0.010009168704156478
13,Cercidiphyllum japonicum,11,0.01042940097799511
14,Ledum glandulosum,11,0.01084963325183374
15,Acer negundo,11,0.011269865525672372
16,Corylopsis sinensis,11,0.011690097799511003
17,Lithocarpus densiflorus,11,0.012110330073349633
18,Populus fremontii,11,0.012530562347188265
19,Betula papyrifera,10,0.012912591687041565
20,Dodonaea viscosa,10,0.013294621026894866
21,Carpinus cordata,10,0.013676650366748167
22,Manilkara zapota,10,0.014058679706601468
23,Populus tacamahacca,10,0.014440709046454768
24,Rhamnus californica,10,0.014822738386308069
25,Virola koschnyi,10,0.01520476772616137
26,Camptotheca acuminata,10,0.01558679706601467
27,Cercocarpus betuloides,10,0.01596882640586797
28,Hymenaea stigonocarpa,10,0.01635085574572127
29,Liquidambar styraciflua,10,0.01673288508557457
30,Quercus chrysolepis,9,0.017076711491442544
31,Rhododendron ferrugineum,9,0.017420537897310514
32,Corylopsis spicata,9,0.017764364303178484
33,Juglans major,9,0.018108190709046453
34,Hymenaea oblongifolia,9,0.018452017114914426
35,Meliosma dilleniifolia,9,0.018795843520782396
36,Sassafras albidum,9,0.019139669926650366
37,Koelreuteria paniculata,9,0.01948349633251834
38,Zelkova serrata,9,0.01982732273838631
39,Zapoteca formosa,9,0.020171149144254278
40,Inga vera,9,0.02051497555012225
41,Platanus racemosa,9,0.02085880195599022
42,Salix scouleriana,9,0.02120262836185819
43,Amborella trichopoda,8,0.021508251833740832
44,Populus tremuloides,8,0.02181387530562347
45,Corylopsis veitchiana,8,0.022119498777506113
46,Prunus virginiana,8,0.02242512224938875
47,Fusaea longifolia,8,0.022730745721271393
48,Calliandra reticulata,8,0.023036369193154035
49,Ungnadia speciosa,8,0.023341992665036674
50,Parrotia persica,8,0.023647616136919316
51,Parrotia jacquemontiana,8,0.023953239608801954
52,Koelreuteria bipinnata,8,0.024258863080684596
53,Engelhardia rigida,8,0.02456448655256724
54,Rhabdodendron amazonicum,8,0.024870110024449877
55,Prunus lyonii,8,0.02517573349633252
56,Umbellularia californica,8,0.025481356968215157
57,Ledum groenlandicum,8,0.0257869804400978
58,Lagerstroemia indica,8,0.02609260391198044
59,Drimys granadensis,8,0.02639822738386308
60,Diatenopteryx sorbifolia,8,0.026703850855745722
61,Monocarpia marginalis,8,0.02700947432762836
62,Acer palmatum,8,0.027315097799511003
63,Meliosma lepidota,8,0.027620721271393645
64,Monodora myristica,8,0.027926344743276283
65,Arytera littoralis,8,0.028231968215158925
66,Trichocladus malosanus,8,0.028537591687041564
67,Senna fruticosa,8,0.028843215158924206
68,Salix glauca,8,0.029148838630806848
69,Platycarya strobilacea,8,0.029454462102689486
70,Thouinidium decandrum,8,0.029760085574572128
71,Desmopsis bibracteata,8,0.030065709046454767
72,Aphelandra sp,8,0.03037133251833741
73,Ceanothus cuneatus,7,0.03063875305623472
74,Altingia excelsa,7,0.03090617359413203
75,Carya glabra,7,0.03117359413202934
76,Rhododendron canadense,7,0.03144101466992665
77,Xylopia frutescens,7,0.03170843520782396
78,Oreomunnea mexicana,7,0.031975855745721274
79,Eustigma oblongifolium,7,0.03224327628361858
80,Meliosma fordii,7,0.032510696821515896
81,Rhododendron catawbiense,7,0.0327781173594132
82,Meliosma arnottiana,7,0.03304553789731051
83,Vaccinium bracteatum,7,0.033312958435207825
84,Chromolucuma rubriflora,7,0.03358037897310513
85,Calliandra tergemina,7,0.03384779951100245
86,Magnolia denudata,7,0.034115220048899754
87,Dasymaschalon clusiflorum,7,0.03438264058679707
88,Lindackeria laurina,7,0.034650061124694376
89,Malus hupehensis,7,0.03491748166259169
90,Matudaea trinervia,7,0.035184902200489
91,Senna pallida,7,0.035452322738386305
92,Alnus rhombifolia,7,0.03571974327628362
93,Degeneria vitiensis,7,0.03598716381418093
94,Acer davidii,7,0.03625458435207824
95,Drimys piperita,7,0.03652200488997555
96,Magnolia liliifera,7,0.03678942542787286
97,Epigaea repens,7,0.03705684596577017
98,Engelhardia roxburghiana,7,0.037324266503667484
99,Castanopsis chrysophylla,7,0.03759168704156479
100,Carapa procera,7,0.0378591075794621
101,Magonia glabrata,7,0.038126528117359414
102,Rollinia jimenezii,7,0.03839394865525672
103,Vaccinium caespitosum,7,0.038661369193154035
104,Salix barclayi,7,0.03892878973105134
105,Populus mexicana,7,0.03919621026894866
106,Phoebe mexicana,7,0.039463630806845965
107,Platanus wrightii,7,0.03973105134474328
108,Turnera ulmifolia,7,0.039998471882640586
109,Bejaria sprucei,7,0.0402658924205379
110,Miliusa indica,7,0.04053331295843521
111,Koelreuteria elegans,7,0.040800733496332516
112,Arbutus arizonica,7,0.04106815403422983
113,Ulmus americana,7,0.04133557457212714
114,Illicium anisatum,7,0.04160299511002445
115,Bursera laxiflora,7,0.04187041564792176
116,Coriandrum sativum,7,0.04213783618581907
117,Tribulus cistoides,7,0.04240525672371638
118,Populus dimorpha,7,0.042672677261613695
119,Ledum columbianum,7,0.042940097799511
120,Jagera pseudorhus,7,0.04320751833740831
121,Filicium decipiens,7,0.043474938875305624
122,Malmea depressa,6,0.043704156479217604
123,Bejaria resinosa,6,0.043933374083129584
124,Distylium racemosum,6,0.044162591687041564
125,Cedrela odorata,6,0.04439180929095354
126,Malpighia glabra,6,0.04462102689486552
127,Macropeplus ligustrinus,6,0.0448502444987775
128,Cassipourea guianensis,6,0.04507946210268949
129,Dipteronia sinensis,6,0.04530867970660147
130,Pemphis acidula,6,0.04553789731051345
131,Harpullia arborea,6,0.04576711491442543
132,Castanopsis sempervirens,6,0.04599633251833741
133,Hamamelis vernalis,6,0.04622555012224939
134,Rollinia exsucca,6,0.04645476772616137
135,Diplodiscus paniculatus,6,0.04668398533007335
136,Gymnacranthera paniculata,6,0.04691320293398533
137,Sophora secundiflora,6,0.04714242053789731
138,Platanus kerrii,6,0.047371638141809294
139,Arbutus xalapensis,6,0.047600855745721274
140,Dichroa febrifuga,6,0.047830073349633254
141,Meliosma sumatrana,6,0.04805929095354523
142,Hymenaea rubriflora,6,0.04828850855745721
143,Hymenaea reticulata,6,0.04851772616136919
144,Cunonia macrophylla,6,0.04874694376528117
145,Meliosma myriantha,6,0.04897616136919315
146,Hymenaea intermedia,6,0.04920537897310513
147,Phaulothamnus spinescens,6,0.04943459657701711
148,Asimina longifolia,6,0.0496638141809291
149,Trichocladus ellipticus,6,0.04989303178484108
150,Toechima tenax,6,0.05012224938875306
151,Trichospermum mexicanum,6,0.05035146699266504
152,Chamaesyce adenoptera,6,0.05058068459657702
153,Illicium lanceolatum,6,0.050809902200489
154,Hexalobus monopetalus,6,0.05103911980440098
155,Actinidia polygama,6,0.05126833740831296
156,Tilia henryana,6,0.05149755501222494
157,Delavaya yunnanensis,6,0.051726772616136917
158,Tilia cordata,6,0.0519559902200489
159,Inga oerstediana,6,0.05218520782396088
160,Triphyophyllum peltatum,6,0.05241442542787286
161,Bejaria racemosa,6,0.05264364303178484
162,Dodonaea megazyga,6,0.05287286063569682
163,Punica granatum,6,0.0531020782396088
164,Albizia adinocephala,6,0.05333129584352078
165,Fraxinus chinensis,6,0.05356051344743276
166,Prunus serrulata,6,0.05378973105134474
167,Quercus virginiana,6,0.05401894865525672
168,Ostrya virginiana,6,0.0542481662591687
169,Syringa reticulata,6,0.05447738386308069
170,Lithocarpus densiflora,6,0.05470660146699267
171,Otophora fruticosa,6,0.05493581907090465
172,Panda oleosa,6,0.05516503667481663
173,Liquidambar formosana,6,0.05539425427872861
174,Fuchsia decidua,6,0.055623471882640586
175,Calycanthus floridus,6,0.055852689486552566
176,Lecaniodiscus cupanioides,6,0.056081907090464546
177,Tetracentron sinense,6,0.056311124694376526
178,Fothergilla major,6,0.056540342298288505
179,Eupomatia laurina,6,0.05676955990220049
180,Calliandra trinervia,6,0.05699877750611247
181,Fothergilla gardenii,6,0.05722799511002445
182,Leitneria floridana,6,0.05745721271393643
183,Calliandra magdalenae,6,0.05768643031784841
184,Leucothoe fontanesiana,6,0.05791564792176039
185,Sycopsis sinensis,6,0.05814486552567237
186,Quassia amara,6,0.05837408312958435
187,Pterocarya rhoifolia,6,0.05860330073349633
188,Alnus nepalensis,6,0.05883251833740831
189,Osteophloeum platyspermum,6,0.0590617359413203
190,Andromeda polifolia,6,0.059290953545232276
191,Canacomyrica monticola,6,0.059520171149144256
192,Kadsura longepedunculata,6,0.059749388753056236
193,Lepisanthes schizolepis,6,0.059978606356968216
194,Anthopteropsis insignis,6,0.060207823960880195
195,Kalmia latifolia,6,0.060437041564792175
196,Carya palmeri,6,0.060666259168704155
197,Carya ovata,6,0.060895476772616135
198,Oncotheca balansae,6,0.061124694376528114
199,Kalmia polifolia,6,0.0613539119804401
200,Kerria japonica,6,0.06158312958435208
201,Loxodiscus coriaceus,6,0.06181234718826406
202,Annona reticulata,6,0.06204156479217604
203,Annona glabra,6,0.06227078239608802
204,Lopezia miniata,6,0.0625
205,Cardiospermum grandiflorum,6,0.06272921760391198
206,Gaultheria shallon,6,0.06295843520782396
207,Gaultheria humifusa,6,0.06318765281173594
208,Prunus serotina,6,0.06341687041564792
209,Engelhardia serrata,6,0.0636460880195599
210,Allophylus psilospermus,6,0.06387530562347188
211,Quisqualis indica,6,0.06410452322738386
212,Alnus firma,6,0.06433374083129584
213,Fagus grandifolia,6,0.06456295843520782
214,Philadelphus lewisii,6,0.0647921760391198
215,Acer macrophyllum,6,0.06502139364303179
216,Monanthotaxis ferruginea,6,0.06525061124694377
217,Clematis pitcheri,6,0.06547982885085575
218,Corylopsis platypetala,6,0.06570904645476773
219,Corchorus aestuans,6,0.06593826405867971
220,Corylopsis willmottiae,6,0.06616748166259169
221,Sapindus saponaria,6,0.06639669926650367
222,Molinadendron hondurense,6,0.06662591687041565
223,Corylopsis pauciflora,6,0.06685513447432763
224,Conium maculatum,6,0.06708435207823961
225,Compsoneura sprucei,6,0.06731356968215159
226,Corylopsis glabrescens,6,0.06754278728606357
227,Michelia compressa,6,0.06777200488997555
228,Myristica fragrans,6,0.06800122249388753
229,Microcos paniculata,5,0.06819223716381419
230,Rhodoleia championii,5,0.06838325183374083
231,Celtis pallida,5,0.06857426650366748
232,Populus acuminata,5,0.06876528117359414
233,Betula nigra,5,0.06895629584352078
234,Celtis laevigata,5,0.06914731051344743
235,Lythrum salicaria,5,0.06933832518337409
236,Corylus cornuta,5,0.06952933985330073
237,Salix nigra,5,0.06972035452322739
238,Weinmannia racemosa,5,0.06991136919315404
239,Jamesia americana,5,0.07010238386308068
240,Alangium longiflorum,5,0.07029339853300734
241,Griselinia ruscifolia,5,0.07048441320293398
242,Macadamia ternifolia,5,0.07067542787286063
243,Acer griseum,5,0.07086644254278729
244,Mangifera indica,5,0.07105745721271393
245,Tetracera alnifolia,5,0.0712484718826406
246,Oxydendrum arboreum,5,0.07143948655256724
247,Guarea simplicifolia,5,0.07163050122249388
248,Guaiacum officinale,5,0.07182151589242054
249,Amelanchier alnifolia,5,0.07201253056234719
250,Acer grosseri,5,0.07220354523227383
251,Eriocoelum macrocarpum,5,0.07239455990220049
252,Desmopsis panamensis,5,0.07258557457212714
253,Rhus microphylla,5,0.0727765892420538
254,Drimys confertifolia,5,0.07296760391198044
255,Iryanthera paraensis,5,0.07315861858190709
256,Altingia chinensis,5,0.07334963325183375
257,Theobroma cacao,5,0.07354064792176039
258,Altingia gracilipes,5,0.07373166259168704
259,Nesaea longipes,5,0.0739226772616137
260,Altingia obovata,5,0.07411369193154034
261,Virola guatemalensis,5,0.074304706601467
262,Rotala ramosior,5,0.07449572127139364
263,Cercocarpus montanus,5,0.07468673594132029
264,Serjania acutidentata,5,0.07487775061124695
265,Pentadiplandra brazzeana,5,0.0750687652811736
266,Acer henryi,5,0.07525977995110024
267,Trochodendron aralioides,5,0.0754507946210269
268,Triumfetta procumbens,5,0.07564180929095354
269,Serjania reticulata,5,0.0758328239608802
270,Polyalthia cerasoides,5,0.07602383863080685
271,Cephalanthus occidentalis,5,0.07621485330073349
272,Apollonias canariensis,5,0.07640586797066015
273,Gymnacranthera farquhariana,5,0.0765968826405868
274,Rhododendron lapponicum,5,0.07678789731051344
275,Michelia yunnanensis,5,0.0769789119804401
276,Polyalthia korinti,5,0.07716992665036675
277,Clematis hirsutissima,5,0.0773609413202934
278,Betula lenta,5,0.07755195599022005
279,Kadsura coccinea,5,0.0777429706601467
280,Populus brandegeei,5,0.07793398533007335
281,Rhodoleia forrestii,5,0.078125
282,Condalia obtusifolia,5,0.07831601466992665
283,Populus hastata,5,0.0785070293398533
284,Mimusops elengi,5,0.07869804400977995
285,Prunus dielsiana,5,0.0788890586797066
286,Ochthocosmus glaber,5,0.07908007334963325
287,Diospyros texana,5,0.0792710880195599
288,Corchorus capsularis,5,0.07946210268948656
289,Broussonetia kazinoki,5,0.0796531173594132
290,Broussonetia papyrifera,5,0.07984413202933985
291,Magonia pubescens,5,0.08003514669926651
292,Salix laevigata,5,0.08022616136919315
293,Ocotea cernua,5,0.0804171760391198
294,Diphysa floribunda,5,0.08060819070904646
295,Fraxinus longicuspis,5,0.0807992053789731
296,Castanea pumila,5,0.08099022004889976
297,Salix lasiandra,5,0.0811812347188264
298,Urvillea ulmacea,5,0.08137224938875305
299,Coriaria japonica,5,0.08156326405867971
300,Diplokeleba floribunda,5,0.08175427872860636
301,Talauma mexicana,5,0.081945293398533
302,Prunus subcordata,5,0.08213630806845966
303,Lamanonia speciosa,5,0.0823273227383863
