,Genus,count,normalized_cumsum
0,Cedrelospermum,978,0.29457831325301204
1,Fagopsis,515,0.44969879518072287
2,Rhus,218,0.5153614457831325
3,Sequoia,153,0.5614457831325301
4,Cercocarpus,146,0.6054216867469879
5,Quercus,133,0.6454819277108433
6,Athyana,106,0.6774096385542169
7,Chamaecyparis,100,0.7075301204819278
8,Populus,93,0.7355421686746988
9,Pinus,65,0.7551204819277109
10,Dryopteris,64,0.7743975903614457
11,Vauquelinia,59,0.7921686746987951
12,Paracarpinus,58,0.8096385542168675
13,Carya,53,0.8256024096385542
14,Crataegus,47,0.8397590361445784
15,Cardiospermum,41,0.8521084337349397
16,Robinia,39,0.863855421686747
17,Acer,36,0.8746987951807229
18,Cedrela,35,0.8852409638554217
19,Caesalpinites,34,0.8954819277108433
20,Sambucus,33,0.905421686746988
21,Koelreuteria,28,0.9138554216867469
22,Ulmus,28,0.922289156626506
23,Mahonia,26,0.9301204819277108
24,Prosopis,23,0.9370481927710843
25,Rosa,23,0.9439759036144578
26,Cercis,23,0.9509036144578313
27,Salix,17,0.9560240963855422
28,Eugenia,16,0.9608433734939759
29,Bohlenia,16,0.9656626506024096
30,Fabaceae,15,0.9701807228915663
31,Castanea,15,0.9746987951807229
32,Vitis,11,0.9780120481927711
33,Zizyphus,11,0.9813253012048193
34,Amelanchier,10,0.9843373493975903
35,Torreya,9,0.9870481927710844
36,cf. Fagopsis,6,0.988855421686747
37,Conzattia,6,0.9906626506024097
38,Schmalzia,5,0.9921686746987952
39,Prunus,4,0.9933734939759036
40,Lindera,4,0.994578313253012
41,Ribes,3,0.9954819277108434
42,Malus,3,0.9963855421686747
43,Rubus,2,0.9969879518072289
44,Sassafras,2,0.9975903614457832
45,Ulmaceae,2,0.9981927710843373
46,Limnobiophyllum,2,0.9987951807228915
47,Holodiscus,2,0.9993975903614458
48,Philadelphus,1,0.9996987951807229
49,Leguminosites,1,1.0
