,Species,count,normalized_cumsum
0,Cedrelospermum lineatum,958,0.2885542168674699
1,Fagopsis longifolia,498,0.43855421686746987
2,Rhus stellariaefolia,143,0.4816265060240964
3,Sequoia affinis,131,0.5210843373493976
4,Cercocarpus myricaefolius,115,0.5557228915662651
5,Athyana haydenii,106,0.5876506024096385
6,Chamaecyparis linguaefolia,88,0.6141566265060241
7,Populus crassa,82,0.638855421686747
8,Dryopteris guyottii,64,0.6581325301204819
9,Paracarpinus fraterna,54,0.6743975903614458
10,Vauquelinia coloradensis,52,0.6900602409638554
11,Pinus sp,50,0.7051204819277108
12,Carya libbeyi,49,0.7198795180722891
13,Robinia lesquereuxi,39,0.7316265060240964
14,Quercus scottii,37,0.7427710843373494
15,Cedrela lancifolia,35,0.7533132530120482
16,Cardiospermum terminalis,34,0.7635542168674698
17,Crataegus copeana,33,0.7734939759036145
18,Sambucus newtoni,33,0.783433734939759
19,Rhus sp,32,0.7930722891566265
20,Cercocarpus sp,31,0.8024096385542169
21,Quercus sp,31,0.8117469879518072
22,Koelreuteria allenii,28,0.8201807228915663
23,Ulmus tenuinervis,25,0.827710843373494
24,Cercis parvifolia,23,0.8346385542168675
25,Prosopis linearifolia,23,0.841566265060241
26,Rhus obscura,22,0.8481927710843373
27,Sequoia sp,22,0.8548192771084338
28,Rhus lesquereuxi,21,0.861144578313253
29,Acer florissantii,21,0.8674698795180723
30,Caesalpinites coloradicus,21,0.8737951807228915
31,Cedrelospermum sp,20,0.8798192771084338
32,Fagopsis sp,17,0.8849397590361445
33,Eugenia arenaceaeformis,16,0.8897590361445783
34,Bohlenia insignis,16,0.8945783132530121
35,Quercus scudderi,15,0.8990963855421686
36,Mahonia marginata,15,0.9036144578313253
37,Acer sp,15,0.9081325301204819
38,Fabaceae sp,15,0.9126506024096386
39,Castanea dolichophylla,15,0.9171686746987951
40,Caesalpinites acuminatus,13,0.9210843373493975
41,Quercus peritula,12,0.9246987951807228
42,Rosa hilliae,12,0.9283132530120481
43,Chamaecyparis sp,12,0.9319277108433734
44,Rosa sp,11,0.9352409638554217
45,Salix ramaleyi,11,0.9385542168674699
46,Quercus orbata,11,0.9418674698795181
47,Vitis florissantella,11,0.9451807228915663
48,Populus sp,11,0.9484939759036145
49,Zizyphus florissantii,11,0.9518072289156626
50,Quercus dumosoides,9,0.9545180722891566
51,Quercus mohavensis,9,0.9572289156626506
52,Pinus florissantii,9,0.9599397590361446
53,Quercus predayana,8,0.9623493975903614
54,Torreya geometrorum,8,0.9647590361445784
55,Cardiospermum sp,7,0.9668674698795181
56,Mahonia sp,7,0.9689759036144578
57,Crataegus nupta,7,0.9710843373493976
58,cf. Fagopsis sp.,6,0.9728915662650602
59,Amelanchier scudderi,6,0.9746987951807229
60,Conzattia coriacea,6,0.9765060240963855
61,Pinus wheeleri,5,0.9780120481927711
62,Vauquelinia sp,5,0.9795180722891567
63,Schmalzia vexans,5,0.9810240963855422
64,Prunus gracilis,4,0.9822289156626506
65,Amelanchier sp,4,0.983433734939759
66,Carya sp,4,0.9846385542168675
67,Crataegus hendersoni,4,0.9858433734939759
68,Salix sp,4,0.9870481927710844
69,Paracarpinus sp,4,0.9882530120481928
70,Lindera coloradica,4,0.9894578313253012
71,Mahonia subdenticulata,4,0.9906626506024097
72,Ribes errans,3,0.9915662650602409
73,Crataegus sp,3,0.9924698795180723
74,Ulmus sp,3,0.9933734939759036
75,Rubus coloradensis,2,0.9939759036144579
76,Holodiscus lisii,2,0.994578313253012
77,Salix taxifoliodes,2,0.9951807228915662
78,Sassafras hesperia,2,0.9957831325301205
79,Limnobiophyllum scutatum,2,0.9963855421686747
80,Ulmaceae sp,2,0.9969879518072289
81,Malus florissantensis,2,0.9975903614457832
82,Vauquelinia lineara,2,0.9981927710843373
83,Pinus macginitiei,1,0.9984939759036144
84,Philadelphus minutus,1,0.9987951807228915
85,Torreya sp,1,0.9990963855421687
86,Malus pseudocredneria,1,0.9993975903614458
87,Leguminosites lespedezoides,1,0.9996987951807229
88,Quercus lyratiformis,1,1.0
